make,model,date_from,rank,id,battery,plug-type2-ccs,icons,acceleration,topspeed,erange_real,efficiency,fastcharge_speed,price_de,country_nl,country_uk,price,tow-hitch,towweight,shape-suv,size-c,shape-spv,size-n
Peugeot,e-Rifter Long 50 kWh,1625090400,129,1523,45,Type 2 CCS,7,11.7,135,195,231,310,42440,"€ 41,430","£33,630",0.78,Towbar possible,750,,,SPV,N
Kia,e-Soul 39 kWh,1593554400,127,1289,39.2,Type 2 CCS,5,9.9,157,230,170,220,38090,N/A,N/A,0.72,,,SUV,,,
Ford,Mustang Mach-E SR AWD,1648764000,122,1670,70,Type 2 CCS,5,6.3,180,340,206,350,62250,"€ 66,670","£60,080",1.26,Towbar possible,1000,SUV,,,
Toyota,PROACE Verso M 75 kWh,1633039200,122,1514,65,Type 2 CCS,8,13.1,130,250,260,290,64530,N/A,N/A,1.23,Towbar possible,1000,,,SPV,N
Opel,Combo-e Life XL 50 kWh,1633039200,111,1545,45,Type 2 CCS,7,11.7,135,195,231,310,44750,N/A,"£31,710",0.78,Towbar possible,750,,,SPV,N
Peugeot,e-Rifter Standard 50 kWh,1625090400,106,1522,45,Type 2 CCS,7,11.7,135,200,225,320,41240,"€ 39,620","£31,600",0.75,Towbar possible,750,,,SPV,N
Opel,Zafira-e Life L 75 kWh,1612134000,106,1349,65,Type 2 CCS,9,13.3,130,250,260,290,70075,"€ 66,167",N/A,1.29,Towbar possible,1000,,,SPV,N
Porsche,Taycan Turbo S Sport Turismo,1646089200,106,1626,83.7,Type 2 CCS,4,2.8,260,395,212,870,187526,"€ 197,900","£143,400",3.5,,,,,,
Citroen,e-Jumpy Combi M 75 kWh,1604185200,103,1597,65,Type 2 CCS,9,13.3,130,250,260,290,56190,"€ 57,367",N/A,1.07,Towbar possible,1000,,,SPV,N
Peugeot,e-Traveller Standard 50 kWh,1604185200,100,1351,45,Type 2 CCS,9,13.1,130,180,250,290,63160,"€ 57,428","£49,100",1.13,Towbar possible,1000,,,SPV,N
Porsche,Taycan Turbo Sport Turismo,1646089200,100,1625,83.7,Type 2 CCS,4,3.2,260,405,207,890,154206,"€ 163,300","£120,900",2.9,,,,,,
Toyota,PROACE Verso L 75 kWh,1633039200,99,1515,65,Type 2 CCS,8,13.1,130,250,260,290,65385,"€ 68,595",N/A,1.27,Towbar possible,1000,,,SPV,N
Citroen,e-SpaceTourer M 50 kWh,1604185200,98,1341,45,Type 2 CCS,9,12.1,130,180,250,290,51890,"€ 57,428","£47,495",1.04,Towbar possible,1000,,,SPV,N
Mercedes,EQV 300 Extra-Long,1601503200,96,1315,90,Type 2 CCS,7,12.1,160,305,295,310,72281,"€ 82,002",N/A,1.46,,,,,SPV,N
Mercedes,eVito Tourer Long 90 kWh,1601503200,95,1615,90,Type 2 CCS,9,12,160,310,290,310,64248,"€ 76,563","£62,694",1.36,,,,,SPV,N
Citroen,e-Jumpy Combi M 50 kWh,1604185200,89,1595,45,Type 2 CCS,9,12.1,130,180,250,290,50190,"€ 48,353","£31,795",0.86,Towbar possible,1000,,,SPV,N
Fiat,E-Ulysse L3 75 kWh,1654034400,88,1724,65,Type 2 CCS,8,13.3,130,250,260,290,62990,N/A,N/A,1.2,Towbar possible,1000,,,SPV,N
Citroen,e-Berlingo XL 50 kWh,1630447200,88,1547,45,Type 2 CCS,7,11.7,135,195,231,310,41240,"€ 44,920","£31,995",0.78,Towbar possible,750,,,SPV,N
Porsche,Taycan Sport Turismo,1646089200,86,1621,71,Type 2 CCS,4,5.4,230,380,187,760,87685,"€ 93,899","£76,500",1.72,,,,,,
Porsche,Taycan Turbo S Cross Turismo,1625090400,85,1439,83.7,Type 2 CCS,4,2.9,250,385,217,850,188002,"€ 198,400","£143,400",3.51,,,,,,
Porsche,Taycan GTS Sport Turismo,1643670000,83,1561,83.7,Type 2 CCS,4,3.7,250,425,197,930,133024,"€ 141,400","£107,000",2.53,,,,,,
Porsche,Taycan 4S Cross Turismo,1625090400,82,1437,83.7,Type 2 CCS,4,4.1,240,425,197,930,112080,"€ 119,700","£91,000",2.14,,,,,,
Fiat,E-Ulysse L2 75 kWh,1654034400,82,1722,65,Type 2 CCS,8,13.3,130,250,260,290,61990,N/A,N/A,1.18,Towbar possible,1000,,,SPV,N
Citroen,e-SpaceTourer M 75 kWh,1612134000,80,1343,65,Type 2 CCS,9,13.3,130,250,260,290,57890,"€ 66,442",N/A,1.18,Towbar possible,1000,,,SPV,N
Mercedes,EQV 250 Long,1633039200,79,1542,60,Type 2 CCS,7,12,160,205,293,190,67818,N/A,N/A,1.29,,,,,SPV,N
Toyota,PROACE Verso L 50 kWh,1633039200,78,1513,45,Type 2 CCS,8,12.1,130,175,257,280,59385,N/A,N/A,1.13,Towbar possible,1000,,,SPV,N
Toyota,PROACE Verso M 50 kWh,1633039200,76,1512,45,Type 2 CCS,8,12.1,130,180,250,290,58530,N/A,N/A,1.11,Towbar possible,1000,,,SPV,N
Porsche,Taycan 4S Plus Sport Turismo,1646089200,74,1624,83.7,Type 2 CCS,4,4,250,430,195,950,113199,"€ 120,031","£91,406",2.15,,,,,,
Peugeot,e-Traveller Long 75 kWh,1612134000,74,1354,68,Type 2 CCS,9,14.3,130,260,262,280,69950,"€ 68,378",N/A,1.31,Towbar possible,1000,,,SPV,N
Fiat,E-Ulysse L2 50 kWh,1654034400,71,1721,45,Type 2 CCS,8,12.1,130,180,250,290,55990,N/A,N/A,1.06,Towbar possible,1000,,,SPV,N
Porsche,Taycan Plus Sport Turismo,1646089200,70,1622,83.7,Type 2 CCS,4,5.4,230,445,188,980,93409,"€ 99,943","£80,549",1.82,,,,,,
